                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5847,                 1.6272,                 1.1304,                 0.5479,                0.27761,                0.23741,                0.12247,                 1.5366,                 1.1613,                 1.1125,               0.070023,              0.0033308,              0.0033308
                      2,                 1.5467,                 1.1935,                 1.1167,                0.62308,                0.29423,                0.29916,                0.14769,                 1.5373,                 1.0488,                 1.1129,               0.040001,              0.0066422,              0.0066422
                      3,                 1.5646,                 1.1545,                 1.1277,                0.46684,                 0.3588,                0.33679,                0.16665,                 1.5384,                 1.0352,                 1.1217,              0.0099567,              0.0099315,              0.0099315
                      4,                 1.5642,                  1.118,                 1.1315,                  0.557,                0.34897,                0.36452,                0.17523,                 1.5526,                 1.0339,                 1.1216,               0.009901,               0.009901,               0.009901
                      5,                 1.5389,                 1.0554,                 1.1205,                0.58938,                0.37146,                0.39971,                0.19781,                 1.5066,                0.98096,                 1.1068,               0.009901,               0.009901,               0.009901
                      6,                 1.5183,                 1.0151,                 1.1139,                0.59554,                0.40992,                0.43566,                0.22085,                 1.5044,                0.95529,                 1.1094,               0.009868,               0.009868,               0.009868
                      7,                 1.5004,                0.98362,                 1.1054,                0.56484,                0.42255,                0.43997,                0.22387,                 1.4765,                0.90229,                  1.095,               0.009835,               0.009835,               0.009835
                      8,                 1.4876,                0.95898,                 1.1025,                0.66359,                0.40895,                0.47214,                0.24243,                 1.4589,                0.88887,                  1.094,               0.009802,               0.009802,               0.009802
                      9,                 1.4755,                0.94263,                 1.0968,                0.67418,                0.43217,                 0.4883,                0.24984,                 1.4527,                0.86625,                 1.0882,               0.009769,               0.009769,               0.009769
                     10,                 1.4621,                0.92116,                 1.0901,                0.65577,                0.42253,                0.47915,                0.24735,                   1.45,                0.85508,                 1.0776,               0.009736,               0.009736,               0.009736
                     11,                 1.4547,                0.91417,                 1.0864,                0.57429,                0.48544,                0.49191,                0.25799,                 1.4357,                0.84038,                 1.0744,               0.009703,               0.009703,               0.009703
                     12,                 1.4495,                0.90136,                 1.0854,                0.58232,                0.49874,                0.50455,                 0.2663,                 1.4256,                0.83353,                 1.0755,                0.00967,                0.00967,                0.00967
                     13,                  1.444,                0.89646,                 1.0838,                0.60217,                0.48687,                0.51682,                0.27205,                 1.4248,                0.82979,                  1.076,               0.009637,               0.009637,               0.009637
                     14,                  1.437,                0.88702,                 1.0767,                0.68749,                0.46647,                0.52204,                0.27967,                 1.4181,                0.82161,                 1.0696,               0.009604,               0.009604,               0.009604
                     15,                 1.4304,                0.87365,                 1.0763,                0.63211,                0.48699,                0.52082,                0.27502,                 1.4021,                0.81541,                 1.0582,               0.009571,               0.009571,               0.009571
                     16,                 1.4263,                0.86743,                 1.0731,                0.63055,                0.49089,                0.52114,                0.27488,                 1.4046,                0.80334,                 1.0616,               0.009538,               0.009538,               0.009538
                     17,                 1.4127,                0.85793,                 1.0684,                0.63489,                0.48381,                 0.5242,                0.27684,                 1.4024,                0.80609,                 1.0643,               0.009505,               0.009505,               0.009505
                     18,                 1.4094,                0.85012,                 1.0677,                0.61944,                0.49962,                0.53767,                0.28341,                 1.3947,                 0.8002,                 1.0589,               0.009472,               0.009472,               0.009472
                     19,                 1.4032,                0.84607,                 1.0634,                0.74539,                0.49999,                0.53582,                0.28113,                 1.3945,                0.79042,                 1.0586,               0.009439,               0.009439,               0.009439
                     20,                 1.4055,                 0.8459,                 1.0646,                0.73891,                0.50497,                0.53337,                0.28861,                  1.385,                0.77737,                 1.0563,               0.009406,               0.009406,               0.009406
                     21,                 1.3998,                0.83595,                 1.0631,                0.76086,                0.51264,                0.55468,                0.29555,                 1.3822,                0.76907,                 1.0536,               0.009373,               0.009373,               0.009373
                     22,                 1.3868,                0.82843,                 1.0606,                0.77678,                0.52142,                0.56104,                0.30345,                 1.3727,                 0.7632,                 1.0481,                0.00934,                0.00934,                0.00934
                     23,                 1.3964,                0.83066,                 1.0613,                0.75355,                0.51576,                0.57342,                0.30729,                  1.372,                0.76246,                 1.0482,               0.009307,               0.009307,               0.009307
